CNUM;SurName;Name;MiddleName;BirthDay;City
ABB2J7;АНДРЕЕВА;Марица;Германовна;22.06.1994;Новосибирск
ABB17Y;АНДРЕЕВА;Северина;Глебовна;17.11.1995;Новосибирск
ABB1BT;АНДРЕЕВА;Софья;Максимовна;26.11.1995;Новосибирск
ABB1GY;АНДРЕЕВА;Эмилия;Аскольдовна;03.03.1994;Новосибирск
ABB1E3;АНИСИМОВА;Аграфена;Гранитовна;22.10.1993;Новосибирск
ABB191;АНИСИМОВА;Русана;Артуровна;13.12.1995;Новосибирск
ABB129;АНИСИМОВА;Саида;Юлиановна;11.03.1995;Новосибирск
ABB2EV;АНИСИМОВА;Эрика;Ефимовна;27.04.1994;Новосибирск
ABB1CN;АНИСИМОВА;Янита;Гертрудовна;29.10.1993;Новосибирск
ABB2M8;АНТОНОВА;Алла;Раймондовна;08.11.1994;Новосибирск
ABB1AA;АНТОНОВА;Антонина;Пётровна;27.09.1993;Новосибирск
ABB2JA;АНТОНОВА;Ванда;Робертовна;18.06.1994;Новосибирск
ABB23C;АНТОНОВА;Василиса;Геодаровна;02.10.1995;Новосибирск
ABB2GR;АНТОНОВА;Лариса;Ридовна;13.04.1994;Новосибирск
ABB2DX;АНТОНОВА;Лейла;Якововна;13.03.1994;Новосибирск
ABB1RX;АНТОНОВА;Мануэла;Гелеоновна;07.11.1994;Новосибирск
ABB1FJ;АНТОНОВА;Муза;Антиповна;14.03.1994;Новосибирск
ABB2CB;АНТОНОВА;Муза;Прохоровна;27.11.1993;Новосибирск
ABB126;АНТОНОВА;Нелли;Богдановна;01.05.1995;Новосибирск
ABB1QD;АНТОНОВА;Софья;Руслановна;21.10.1994;Новосибирск
ABB0YT;АРТЕМЬЕВА;Агния;Раймондовна;08.12.1994;Новосибирск
ABB16J;АРТЕМЬЕВА;Анфиса;Варламовна;07.11.1995;Новосибирск
ABB24N;АРТЕМЬЕВА;Валентина;Ричардовна;06.12.1995;Новосибирск
ABB276;АРТЕМЬЕВА;Вета;Вениаминовна;12.10.1993;Новосибирск
ABB18V;АРТЕМЬЕВА;Грета;Ридовна;18.08.1995;Новосибирск
ABB1CZ;АРТЕМЬЕВА;Джозефина;Радамесовна;09.01.1994;Новосибирск
ABB20U;АРТЕМЬЕВА;Ирина;Прохоровна;01.09.1995;Новосибирск
ABB1QA;АРТЕМЬЕВА;Октябрина;Макаровна;29.10.1994;Новосибирск
ABB23F;АРТЕМЬЕВА;Розалия;Тихоновна;14.10.1995;Новосибирск
ABB217;АРТЕМЬЕВА;Сильва;Лавровна;22.06.1995;Новосибирск
ABB1NR;АРХИПОВА;Алиса;Радомировна;11.10.1994;Новосибирск
ABB185;АРХИПОВА;Ариадна;Рунаровна;23.09.1995;Новосибирск
ABB2HJ;АРХИПОВА;Астра;Робертовна;19.07.1994;Новосибирск
ABB1FF;АРХИПОВА;Виталина;Макаровна;13.02.1994;Новосибирск
ABB2P9;АРХИПОВА;Джулия;Семёновна;04.12.1994;Новосибирск
ABB1JQ;АРХИПОВА;Леонида;Геральдовна;31.01.1994;Новосибирск
ABB12J;АРХИПОВА;Лия;Викторовна;04.04.1995;Новосибирск
ABB0RZ;АРХИПОВА;Марта;Рустамовна;01.05.1994;Новосибирск
ABB1KL;АРХИПОВА;Сабина;Варламовна;13.05.1994;Новосибирск
ABB2HN;АРХИПОВА;Сара;Богдановна;28.08.1994;Новосибирск
ABB0V6;АРХИПОВА;Симона;Агафоновна;12.10.1994;Новосибирск
ABB171;АРХИПОВА;Флора;Семёновна;23.10.1995;Новосибирск
ABB0V0;АФАНАСЬЕВА;Джулия;Вадимовна;26.09.1994;Новосибирск
ABB168;АФАНАСЬЕВА;Ирина;Пантелеймоновна;19.08.1995;Новосибирск
ABB0ZF;АФАНАСЬЕВА;Ирма;Максимовна;06.01.1995;Новосибирск
ABB2L6;АФАНАСЬЕВА;Лидия;Гермогеновна;29.07.1994;Новосибирск
ABB2KY;АФАНАСЬЕВА;Розмари;Гаспаровна;07.09.1994;Новосибирск
ABB1EN;БАРАНОВА;Аюна;Рудольфовна;26.12.1993;Новосибирск
ABB1B4;БАРАНОВА;Вероника;Гертрудовна;17.09.1993;Новосибирск
ABB1WQ;БАРАНОВА;Зара;Адонисовна;25.03.1995;Новосибирск
ABB29N;БАРАНОВА;Зара;Якововна;24.11.1993;Новосибирск
ABB1D7;БАРАНОВА;Линда;Аргентовна;24.12.1993;Новосибирск
ABB27T;БАРАНОВА;Мариетта;Максимовна;30.12.1995;Новосибирск
ABB18E;БАРАНОВА;Мирослава;Робеспьеровна;26.08.1995;Новосибирск
ABB1DB;БАРАНОВА;Моника;Борисовна;01.12.1993;Новосибирск
ABB1VU;БАРАНОВА;Полина;Гертовна;21.04.1995;Новосибирск
ABB1RE;БАРАНОВА;Саида;Робертовна;28.09.1994;Новосибирск
ABB1UY;БЕЛОВА;Екатерина;Арнольдовна;14.01.1995;Новосибирск
ABB2A6;БЕЛОВА;Наида;Пётровна;27.12.1993;Новосибирск
ABB1M2;БЕЛОВА;Олеся;Гелеоновна;25.07.1994;Новосибирск
ABB1N4;БЕЛОВА;Сарра;Авенировна;22.07.1994;Новосибирск
ABB1ZN;БЕЛОВА;Светлана;Робеспьеровна;23.08.1995;Новосибирск
ABB21Q;БЕЛОВА;Таира;Амосовна;09.08.1995;Новосибирск
ABB2F0;БЕЛОВА;Янита;Кимовна;17.05.1994;Новосибирск
ABB11X;БЕЛОЗЁРОВА;Алина;Кимовна;03.04.1995;Новосибирск
ABB14Y;БЕЛОЗЁРОВА;Валерия;Мартыновна;12.07.1995;Новосибирск
ABB0U2;БЕЛОЗЁРОВА;Веселина;Аполлоновна;13.04.1994;Новосибирск
ABB1U1;БЕЛОЗЁРОВА;Виктория;Робеспьеровна;08.12.1994;Новосибирск
ABB1T3;БЕЛОЗЁРОВА;Евдокия;Макаровна;19.12.1994;Новосибирск
ABB1RW;БЕЛОЗЁРОВА;Екатерина;Гайдаровна;11.11.1994;Новосибирск
ABB0U3;БЕЛОЗЁРОВА;Ираида;Арленовна;16.06.1994;Новосибирск
ABB1N1;БЕЛОЗЁРОВА;Милена;Фроловна;07.08.1994;Новосибирск
ABB22C;БЕЛОЗЁРОВА;Мирдза;Харитоновна;09.07.1995;Новосибирск
ABB2P2;БЕЛОУСОВА;Анита;Валерьяновна;21.10.1994;Новосибирск
ABB11C;БЕЛОУСОВА;Веселина;Гориславовна;29.03.1995;Новосибирск
ABB1QG;БЕЛОУСОВА;Глафира;Ринатовна;14.11.1994;Новосибирск
ABB29X;БЕЛОУСОВА;Елена;Михаиловна;16.11.1993;Новосибирск
ABB0T7;БЕЛОУСОВА;Злата;Андроновна;06.05.1994;Новосибирск
ABB1SD;БЕЛОУСОВА;Милослава;Аргентовна;30.12.1994;Новосибирск
ABB1M4;БЕЛОУСОВА;Рада;Роландовна;06.08.1994;Новосибирск
ABB0ZD;БЕЛОУСОВА;Роза;Геодаровна;03.11.1994;Новосибирск
ABB0VX;БЕЛОУСОВА;Сусанна;Ладиславовна;01.10.1994;Новосибирск
ABB0R8;БЕЛОУСОВА;Татьяна;Ахматовна;16.05.1994;Новосибирск
ABB2KQ;БЕЛОУСОВА;Фаиза;Александровна;15.06.1994;Новосибирск
ABB1ZV;БЕЛЯЕВА;Дарья;Созоновна;31.08.1995;Новосибирск
ABB2J9;БЕЛЯЕВА;Дионисия;Альбертовна;20.07.1994;Новосибирск
ABB0XZ;БЕЛЯЕВА;Домина;Борисовна;01.11.1994;Новосибирск
ABB206;БЕЛЯЕВА;Доминика;Рюриковна;27.07.1995;Новосибирск
ABB25S;БЕЛЯЕВА;Инесса;Алевтиновна;27.12.1995;Новосибирск
ABB1U0;БЕЛЯЕВА;Иршулья;Альбертовна;14.02.1995;Новосибирск
ABB1WM;БЕЛЯЕВА;Ия;Агафоновна;13.03.1995;Новосибирск
ABB13K;БЕЛЯЕВА;Кира;Рунаровна;22.07.1995;Новосибирск
ABB19Q;БЕЛЯЕВА;Лола;Олеговна;17.10.1993;Новосибирск
ABB1KN;БЕЛЯЕВА;Мирослава;Рустемовна;09.08.1994;Новосибирск
ABB1DY;БЕЛЯЕВА;Таисия;Галактионовна;22.01.1994;Новосибирск
ABB1ZK;БЕЛЯЕВА;Фаня;Гекторовна;18.07.1995;Новосибирск
ABB2FM;БЕЛЯКОВА;Варвара;Гелеоновна;08.04.1994;Новосибирск
ABB1SY;БЕЛЯКОВА;Гертруда;Атеистовна;26.12.1994;Новосибирск
ABB0RW;БЕЛЯКОВА;Глафира;Гаврииловна;02.04.1994;Новосибирск
ABB0UU;БЕЛЯКОВА;Домина;Рустэмовна;11.10.1994;Новосибирск
ABB1JU;БЕЛЯКОВА;Клара;Гекторовна;16.05.1994;Новосибирск
ABB0WP;БЕЛЯКОВА;Линда;Ратмировна;14.10.1994;Новосибирск
ABB2FR;БЕЛЯКОВА;Линда;Харитоновна;12.04.1994;Новосибирск
ABB0SA;БЕЛЯКОВА;Надежда;Робинзоновна;26.06.1994;Новосибирск
ABB282;БЕЛЯКОВА;Нина;Гайдаровна;25.10.1993;Новосибирск
ABB15F;БЕЛЯКОВА;Таисия;Робертовна;09.07.1995;Новосибирск
ABB11M;БЕСПАЛОВА;Августа;Михаиловна;10.02.1995;Новосибирск
ABB0RN;БЕСПАЛОВА;Елена;Гориславовна;03.07.1994;Новосибирск
ABB274;БЕСПАЛОВА;Изольда;Ладимировна;02.09.1993;Новосибирск
ABB17W;БЕСПАЛОВА;Капитолина;Гаспаровна;13.11.1995;Новосибирск
ABB0XQ;БЕСПАЛОВА;Капитолина;Горновна;11.01.1995;Новосибирск
ABB163;БЕСПАЛОВА;Кира;Викторовна;16.09.1995;Новосибирск
ABB0WK;БЕСПАЛОВА;Роза;Мартыновна;03.08.1994;Новосибирск
ABB2B2;БЕСПАЛОВА;Руфина;Митрофановна;26.11.1993;Новосибирск
ABB1SN;БЕСПАЛОВА;Станислава;Борисовна;03.01.1995;Новосибирск
ABB2J3;БЕСПАЛОВА;Флора;Ратмировна;04.08.1994;Новосибирск
ABB0XF;БИРЮКОВА;Алла;Пётровна;15.01.1995;Новосибирск
ABB2MD;БИРЮКОВА;Ирина;Ратмировна;31.10.1994;Новосибирск
ABB1WB;БИРЮКОВА;Лола;Арамовна;04.05.1995;Новосибирск
ABB0RM;БИРЮКОВА;Марианна;Гаврииловна;20.05.1994;Новосибирск
ABB1TC;БИРЮКОВА;Наида;Адамовна;08.01.1995;Новосибирск
ABB16L;БИРЮКОВА;Рената;Радимовна;03.11.1995;Новосибирск
ABB15Z;БИРЮКОВА;Роксана;Онисимовна;23.08.1995;Новосибирск
ABB1AV;БИРЮКОВА;Сарра;Аргентовна;12.09.1993;Новосибирск
ABB2CP;БИРЮКОВА;Эмма;Пантелеймоновна;22.12.1993;Новосибирск
ABB2MX;БЛИНОВА;Анастасия;Михаиловна;16.10.1994;Новосибирск
ABB2KG;БЛИНОВА;Анжелика;Вячеславовна;29.08.1994;Новосибирск
ABB23G;БЛИНОВА;Ариадна;Федотовна;19.11.1995;Новосибирск
ABB0SU;БЛИНОВА;Дебора;Антиповна;30.05.1994;Новосибирск
ABB1RY;БЛИНОВА;Инесса;Вадимовна;14.10.1994;Новосибирск
ABB18Z;БЛИНОВА;Ирма;Арамовна;02.09.1993;Новосибирск
ABB1ER;БЛИНОВА;Карина;Александровна;23.10.1993;Новосибирск
ABB1D6;БЛИНОВА;Клариса;Прохоровна;18.11.1993;Новосибирск
ABB252;БЛИНОВА;Линда;Варламовна;30.09.1995;Новосибирск
ABB15S;БЛИНОВА;Сусанна;Анваровна;22.05.1995;Новосибирск
ABB116;БЛОХИНА;Вероника;Рэмовна;13.02.1995;Новосибирск
ABB1F5;БЛОХИНА;Изольда;Иакинфовна;21.02.1994;Новосибирск
ABB0UT;БЛОХИНА;Иоланта;Ладиславовна;25.09.1994;Новосибирск
ABB2HT;БЛОХИНА;Камилла;Христофоровна;27.07.1994;Новосибирск
ABB2B6;БЛОХИНА;Тереза;Альвиановна;12.12.1993;Новосибирск
ABB1CM;БОБРОВА;Злата;Гаврииловна;30.11.1993;Новосибирск
ABB17X;БОБРОВА;Илзе;Аполлоновна;09.11.1995;Новосибирск
ABB1TH;БОБРОВА;Ирма;Гаспаровна;01.02.1995;Новосибирск
ABB12B;БОБРОВА;Клара;Афиногеновна;27.03.1995;Новосибирск
ABB1YW;БОБРОВА;Милослава;Рунаровна;11.06.1995;Новосибирск
ABB0U6;БОБРОВА;Томила;Эрастовна;31.07.1994;Новосибирск
ABB15L;БОБЫЛЁВА;Анисья;Рэмовна;15.06.1995;Новосибирск
ABB0RB;БОБЫЛЁВА;Астра;Рустемовна;30.04.1994;Новосибирск
ABB200;БОБЫЛЁВА;Глафира;Денисовна;29.06.1995;Новосибирск
ABB2AU;БОБЫЛЁВА;Нора;Вячеславовна;04.12.1993;Новосибирск
ABB186;БОБЫЛЁВА;Таисия;Михаиловна;11.09.1995;Новосибирск
ABB0YH;БОГДАНОВА;Анфиса;Ахметовна;24.01.1995;Новосибирск
ABB13E;БОГДАНОВА;Георгина;Евграфовна;16.06.1995;Новосибирск
ABB1UL;БОГДАНОВА;Марианна;Исидоровна;22.02.1995;Новосибирск
ABB1UJ;БОГДАНОВА;Мирра;Гелиановна;17.01.1995;Новосибирск
ABB1NS;БОГДАНОВА;Сабина;Владимировна;15.10.1994;Новосибирск
ABB1UA;БОГДАНОВА;Юзефа;Всеволодовна;16.12.1994;Новосибирск
ABB215;БОЛЬШАКОВА;Данута;Горимировна;30.06.1995;Новосибирск
ABB2GL;БОЛЬШАКОВА;Инара;Михаиловна;09.04.1994;Новосибирск
ABB2FK;БОЛЬШАКОВА;Клара;Мэлоровна;23.03.1994;Новосибирск
ABB1AP;БОЛЬШАКОВА;Леонида;Викторовна;27.08.1993;Новосибирск
ABB292;БОЛЬШАКОВА;Мирослава;Гертовна;28.09.1993;Новосибирск
ABB280;БОЛЬШАКОВА;Нонна;Венедиктовна;14.11.1993;Новосибирск
ABB29E;БОЛЬШАКОВА;Рузана;Ромуальдовна;03.10.1993;Новосибирск
ABB1EZ;БОЛЬШАКОВА;Ульяна;Степановна;17.02.1994;Новосибирск
ABB1K3;БОЛЬШАКОВА;Устина;Ренальдовна;19.07.1994;Новосибирск
ABB20E;БОРИСОВА;Агния;Гаврииловна;12.08.1995;Новосибирск
ABB1F6;БОРИСОВА;Аида;Степановна;22.04.1994;Новосибирск
ABB1DW;БОРИСОВА;Биргит;Андриановна;06.01.1994;Новосибирск
ABB1KR;БОРИСОВА;Инара;Данииловна;29.05.1994;Новосибирск
ABB0ZX;БОРИСОВА;Камилла;Исидоровна;14.01.1995;Новосибирск
ABB0TX;БОРИСОВА;Капитолина;Рустэмовна;07.05.1994;Новосибирск
ABB2H2;БОРИСОВА;Ксения;Андриановна;19.05.1994;Новосибирск
ABB177;БОРИСОВА;Марица;Тихоновна;15.10.1995;Новосибирск
ABB2CQ;БОРИСОВА;Нора;Викторовна;30.01.1994;Новосибирск
ABB2BA;БРАГИНА;Ася;Глебовна;09.01.1994;Новосибирск
ABB1JW;БРАГИНА;Камилла;Валентиновна;24.05.1994;Новосибирск
ABB125;БРАГИНА;Лейла;Арвидовна;27.04.1995;Новосибирск
ABB1R1;БРАГИНА;Марианна;Геодаровна;24.09.1994;Новосибирск
ABB256;БРАГИНА;Моника;Рандольфовна;16.10.1995;Новосибирск
ABB1K9;БРАГИНА;Сима;Филатовна;04.08.1994;Новосибирск
ABB1HR;БРАГИНА;Христина;Геодаровна;09.04.1994;Новосибирск
ABB1ZX;БУРОВА;Алевтина;Ефимовна;08.09.1995;Новосибирск
ABB16B;БУРОВА;Илзе;Денисовна;15.11.1995;Новосибирск
ABB0WY;БУРОВА;Любомира;Ридовна;18.10.1994;Новосибирск
ABB1TV;БУРОВА;Оксана;Викторовна;17.02.1995;Новосибирск
ABB19S;БУРОВА;Северина;Лавровна;05.10.1993;Новосибирск
ABB2CU;БУРОВА;Сима;Иулиановна;03.03.1994;Новосибирск
ABB1F7;БУРОВА;Стефания;Иулиановна;25.02.1994;Новосибирск
ABB10Q;БУРОВА;Янина;Семёновна;25.04.1995;Новосибирск
ABB2J0;БЫКОВА;Анастасия;Гелеоновна;13.09.1994;Новосибирск
ABB1SF;БЫКОВА;Джемма;Гаврииловна;22.12.1994;Новосибирск
ABB23V;БЫКОВА;Динара;Артёмовна;16.11.1995;Новосибирск
ABB0YC;БЫКОВА;Инна;Алановна;27.12.1994;Новосибирск
ABB11Z;БЫКОВА;Луиза;Германовна;23.04.1995;Новосибирск
ABB261;БЫКОВА;Руфина;Эрастовна;18.11.1995;Новосибирск
ABB2J5;ВАСИЛЬЕВА;Беатриса;Гаврииловна;17.09.1994;Новосибирск
ABB1VK;ВАСИЛЬЕВА;Джемма;Ахматовна;11.05.1995;Новосибирск
ABB2NQ;ВАСИЛЬЕВА;Домина;Ярославовна;23.12.1994;Новосибирск
ABB1RQ;ВАСИЛЬЕВА;Евдокия;Радиславовна;03.11.1994;Новосибирск
ABB1YU;ВАСИЛЬЕВА;Милица;Лукьяновна;19.03.1995;Новосибирск
ABB1EV;ВАСИЛЬЕВА;Рада;Владленовна;05.02.1994;Новосибирск
ABB0TC;ВАСИЛЬЕВА;Эсмеральда;Денисовна;08.04.1994;Новосибирск
ABB1ME;ВЕСЕЛОВА;Биргит;Ролановна;30.07.1994;Новосибирск
ABB1PG;ВЕСЕЛОВА;Инесса;Гертовна;26.09.1994;Новосибирск
ABB19E;ВЕСЕЛОВА;Павлина;Мартыновна;22.09.1993;Новосибирск
ABB1S7;ВЕСЕЛОВА;Ревекка;Герасимовна;28.02.1995;Новосибирск
ABB1ZR;ВЕСЕЛОВА;Элеонора;Разумниковна;03.08.1995;Новосибирск
ABB2A7;ВИНОГРАДОВА;Александра;Вячеславовна;03.12.1993;Новосибирск
ABB1BZ;ВИНОГРАДОВА;Аюна;Рашидовна;13.11.1993;Новосибирск
ABB1J3;ВИНОГРАДОВА;Биргит;Рудольфовна;28.03.1994;Новосибирск
ABB1E8;ВИНОГРАДОВА;Ева;Ахметовна;19.01.1994;Новосибирск
ABB2E4;ВИНОГРАДОВА;Капитолина;Арнольдовна;06.04.1994;Новосибирск
ABB1ZZ;ВИНОГРАДОВА;Луиза;Роальдовна;25.06.1995;Новосибирск
ABB1MU;ВИНОГРАДОВА;Неонила;Анисимовна;11.05.1994;Новосибирск
ABB2P3;ВИНОГРАДОВА;Татьяна;Кимовна;01.10.1994;Новосибирск
ABB29M;ВИНОГРАДОВА;Эмилия;Атеистовна;04.11.1993;Новосибирск
ABB15W;ВИШНЯКОВА;Ада;Прохоровна;23.06.1995;Новосибирск
ABB0S8;ВИШНЯКОВА;Амалия;Демьяновна;25.05.1994;Новосибирск
ABB2PD;ВИШНЯКОВА;Дина;Гамлетовна;16.12.1994;Новосибирск
ABB1TT;ВИШНЯКОВА;Евдокия;Евграфовна;27.12.1994;Новосибирск
ABB2HM;ВИШНЯКОВА;Иоланта;Фроловна;21.06.1994;Новосибирск
ABB1ZG;ВИШНЯКОВА;Каролина;Радиславовна;28.06.1995;Новосибирск
ABB1RN;ВИШНЯКОВА;Клара;Онисимовна;19.11.1994;Новосибирск
ABB2C4;ВИШНЯКОВА;Христина;Андриановна;07.02.1994;Новосибирск
ABB1ZD;ВЛАДИМИРОВА;Аурелия;Руслановна;19.08.1995;Новосибирск
ABB1MF;ВЛАДИМИРОВА;Белла;Рустэмовна;16.06.1994;Новосибирск
ABB2EK;ВЛАДИМИРОВА;Груша;Герасимовна;19.04.1994;Новосибирск
ABB1LF;ВЛАДИМИРОВА;Дебора;Всеволодовна;18.05.1994;Новосибирск
ABB1KQ;ВЛАДИМИРОВА;Джемма;Раймондовна;04.07.1994;Новосибирск
ABB1U5;ВЛАДИМИРОВА;Лада;Аргентовна;25.01.1995;Новосибирск
ABB2CX;ВЛАДИМИРОВА;Нила;Юлиановна;02.12.1993;Новосибирск
ABB1ES;ВЛАДИМИРОВА;Сусанна;Алановна;02.04.1994;Новосибирск
ABB1LS;ВЛАДИМИРОВА;Флора;Ратмировна;30.05.1994;Новосибирск
ABB17C;ВЛАСОВА;Валентина;Богдановна;20.11.1995;Новосибирск
ABB0RV;ВЛАСОВА;Дина;Левовна;26.04.1994;Новосибирск
ABB1S2;ВЛАСОВА;Домина;Арнольдовна;28.11.1994;Новосибирск
ABB2C2;ВЛАСОВА;Ева;Альбертовна;02.01.1994;Новосибирск
ABB0ZV;ВЛАСОВА;Инна;Вадимовна;05.12.1994;Новосибирск
ABB1YQ;ВЛАСОВА;Клавдия;Арамовна;28.04.1995;Новосибирск
ABB0WG;ВЛАСОВА;Лия;Трофимовна;20.09.1994;Новосибирск
ABB22H;ВЛАСОВА;Луиза;Валентиновна;19.06.1995;Новосибирск
ABB2CD;ВЛАСОВА;Милена;Вячеславовна;19.02.1994;Новосибирск
ABB205;ВЛАСОВА;Октябрина;Гайдаровна;19.07.1995;Новосибирск
ABB0X5;ВОЛКОВА;Астра;Андроновна;28.11.1994;Новосибирск
ABB15C;ВОЛКОВА;Аюна;Лавровна;09.05.1995;Новосибирск
ABB1PR;ВОЛКОВА;Моника;Вячеславовна;08.10.1994;Новосибирск
ABB1WG;ВОЛКОВА;Ростислава;Робинзоновна;10.04.1995;Новосибирск
ABB2Q5;ВОЛКОВА;Фрида;Гекторовна;09.12.1994;Новосибирск
ABB0ZG;ВОРОБЬЁВА;Амина;Антиповна;18.01.1995;Новосибирск
ABB2MM;ВОРОБЬЁВА;Аурелия;Аргентовна;26.12.1994;Новосибирск
ABB0XA;ВОРОБЬЁВА;Веста;Денисовна;06.12.1994;Новосибирск
ABB1PQ;ВОРОБЬЁВА;Даниэла;Ивановна;05.11.1994;Новосибирск
ABB15G;ВОРОБЬЁВА;Ираида;Радиславовна;29.07.1995;Новосибирск
ABB2AT;ВОРОБЬЁВА;Нора;Куприяновна;28.12.1993;Новосибирск
ABB0ZT;ВОРОБЬЁВА;Руслана;Варламовна;29.12.1994;Новосибирск
ABB18P;ВОРОНОВА;Августа;Гермогеновна;18.11.1995;Новосибирск
ABB10T;ВОРОНОВА;Валерия;Иулиановна;10.04.1995;Новосибирск
ABB0XN;ВОРОНОВА;Вероника;Роальдовна;26.12.1994;Новосибирск
ABB299;ВОРОНОВА;Дана;Антиповна;11.10.1993;Новосибирск
ABB1KC;ВОРОНОВА;Иветта;Спиридоновна;15.07.1994;Новосибирск
ABB2CC;ВОРОНОВА;Мирра;Валентиновна;22.01.1994;Новосибирск
ABB2JK;ВОРОНОВА;Мирра;Разумниковна;21.08.1994;Новосибирск
ABB2Q3;ВОРОНОВА;Яна;Рустамовна;11.11.1994;Новосибирск
ABB1Z7;ВОРОНЦОВА;Амина;Владленовна;02.07.1995;Новосибирск
ABB176;ВОРОНЦОВА;Беатриса;Гранитовна;16.11.1995;Новосибирск
ABB2J2;ВОРОНЦОВА;Доля;Гаральдовна;20.08.1994;Новосибирск
ABB1AB;ВОРОНЦОВА;Ивона;Иулиановна;15.12.1995;Новосибирск
